Time (s), Cell Name, Value
308.953964, C059, 15.0135
315.948394, C059, 21.6123
515.86792, C059, 8.349571
3165.350283, C059, 10.05202
3249.08357, C059, 8.793076
3281.058094, C059, 8.108261
3538.8527, C059, 12.9745
3554.14052, C059, 7.493649
3558.736858, C059, 11.26544
74.041037, C060, 18.33579
245.20473, C060, 33.34359
322.14346, C060, 8.827415
520.264422, C060, 8.730957
523.461877, C060, 9.865765
538.849633, C060, 21.09646
3164.65084, C060, 7.111729
3291.849497, C060, 9.509315
3497.6855, C060, 7.216454
3527.961378, C060, 13.97833
3531.858273, C060, 7.220811
69.144936, C061, 10.86766
71.24326499999999, C061, 24.6007
128.997272, C061, 25.14441
146.583268, C061, 16.99122
248.302264, C061, 10.84634
250.600433, C061, 21.59089
260.692397, C061, 20.55133
285.172902, C061, 8.784661
317.4472, C061, 12.1886
336.0324, C061, 9.243265
356.516087, C061, 14.9117
357.315451, C061, 10.82418
540.148599, C061, 5.50748
3167.448611, C061, 11.5666
3396.066463, C061, 12.37939
3487.3937, C061, 6.655734
25.379788, C062, 8.050351
70.14413999999999, C062, 12.44944
72.242469, C062, 10.05681
77.238491, C062, 10.50961
104.217006, C062, 21.10025
108.613505, C062, 12.28044
111.111516, C062, 20.54794
279.377517, C062, 17.2103
284.87314, C062, 8.867317
319.545529, C062, 10.05522
336.731843, C062, 11.68396
340.72866, C062, 7.839052
548.042318, C062, 7.405455
565.528404, C062, 27.75153
575.720294, C062, 8.142189
3171.245586, C062, 11.98177
3185.734043, C062, 9.352962
3209.714936, C062, 16.82821
3219.107453, C062, 9.877844
3309.435485, C062, 10.48096
3330.418767, C062, 9.264789
3332.117414, C062, 26.2561
3357.796954, C062, 9.819227
3359.39568, C062, 24.44306
3413.25277, C062, 10.66852
3417.549347, C062, 9.445206
3434.435893, C062, 9.757337
3462.913204, C062, 8.874432
3476.102695, C062, 16.67825
20.483687, C063, 26.0283
31.075253, C063, 22.35496
219.52518, C063, 20.79432
66.846766, C064, 30.29116
69.644538, C064, 26.85413
219.52518, C064, 30.70717
299.161762, C064, 26.9603
334.733434, C064, 24.19006
3199.323216, C064, 16.26978
3203.919553, C064, 17.2216
3208.915573, C064, 15.00955
3327.620996, C064, 15.23951
3352.401253, C064, 21.11998
3550.043784, C064, 19.12345
3552.741634, C064, 11.35027
156.37547, C065, 9.635987
186.351598, C065, 9.565184
188.949529, C065, 14.88579
360.812666, C065, 12.51161
362.711154, C065, 9.76232
379.597706, C065, 11.84793
3181.737227, C065, 17.11934
3207.216926, C065, 16.40649
3361.494008, C065, 7.528885
3364.691461, C065, 8.488417
3365.590744, C065, 9.787931
3501.582395, C065, 7.379776
3541.950232, C065, 16.85464
3549.244421, C065, 6.924031
2.298169, C066, 32.08467
78.337615, C066, 15.70721
81.93475100000001, C066, 26.28748
159.672844, C066, 21.89916
170.963852, C066, 26.3876
173.461863, C066, 22.17815
183.453906, C066, 23.62944
213.529955, C066, 29.03316
381.895876, C066, 24.3707
383.194842, C066, 27.55503
3320.82641, C066, 11.58501
3322.824817, C066, 12.59344
3407.157626, C066, 9.490382
3408.856273, C066, 23.5864
3496.886137, C066, 26.1946
3499.184306, C066, 23.8734
3517.669578, C066, 22.56337
3519.867826, C066, 12.83574
3553.640918, C066, 16.18908
3557.337972, C066, 19.50737
30.47573, C067, 21.14131
533.553847, C067, 8.369558
536.15178, C067, 8.857801
546.743351, C067, 14.75784
3197.82441, C067, 16.90106
3199.423136, C067, 8.679541
3357.796954, C067, 8.654379
3366.98963, C067, 8.153799
3374.083977, C067, 15.79092
3467.909223, C067, 10.38247
3545.247605, C067, 12.38009
3547.445854, C067, 13.02079
3549.843943, C067, 10.44133
22.182335, C068, 17.05011
186.451519, C068, 9.992111
543.545896, C068, 6.33403
548.941602, C068, 7.447711
556.7354, C068, 6.504887
3183.136112, C068, 8.479372
3195.826002, C068, 25.30722
3209.615016, C068, 9.704303
3211.913185, C068, 10.41343
3430.339157, C068, 6.55689
3502.081997, C068, 7.169772
3502.581599, C068, 15.92994
3546.54657, C068, 6.815414
27.478117, C069, 6.92135
31.974537, C069, 7.730276
32.474139, C069, 13.78898
92.226555, C069, 7.055175
117.706264, C069, 8.65835
119.20507, C069, 7.611069
120.404116, C069, 13.26896
174.560988, C069, 6.340749
182.654542, C069, 6.989381
208.633854, C069, 7.856572
262.990567, C069, 6.85591
312.051497, C069, 7.919103
379.597706, C069, 9.977819
519.664899, C069, 17.1521
558.234208, C069, 11.027
562.031186, C069, 15.18585
3184.834759, C069, 19.76035
3253.679908, C069, 13.35077
3271.665578, C069, 18.26726
3279.85905, C069, 16.90721
3325.023066, C069, 15.16379
3366.090346, C069, 12.7509
3401.262323, C069, 14.90479
3436.33438, C069, 15.06885
9.192679, C070, 9.850907
39.468569, C070, 10.49444
71.742867, C070, 13.31748
97.82209899999999, C070, 30.04636
123.601569, C070, 13.07172
342.727068, C070, 10.45654
533.154165, C070, 15.217
558.334128, C070, 19.47712
3201.321623, C070, 28.77428
3482.997202, C070, 7.543628
3484.89569, C070, 9.509121
3508.07722, C070, 10.64579
3528.660821, C070, 17.38448
3529.859865, C070, 16.50471
3534.056522, C070, 22.8335
20.483687, C071, 9.381755
107.114699, C071, 11.94212
174.560988, C071, 16.4861
193.246108, C071, 15.75287
352.219509, C071, 8.475031
548.641841, C071, 7.936774
3254.978873, C071, 9.25415
3266.469718, C071, 8.455128
3295.746392, C071, 9.650692
3337.712956, C071, 8.254137
3554.440281, C071, 26.18819
3.497214, C072, 8.827024
21.382971, C072, 10.3766
22.781857, C072, 8.039968
56.654882, C072, 13.28263
71.24326499999999, C072, 8.236046
72.841992, C072, 21.01537
100.120269, C072, 14.87712
