IMU Time (s), Acc x, Acc y, Acc z, Ori yaw, Ori pitch, Ori roll, Mag Time (s), Mag x, Mag y, Mag z
2.783258, -0.0238037109375, -0.045166015625, 0.08123779296875, -3.138671875, 0.30517578125, 0.0009765625, 54.523751, -528, -960, -3111
2.803875, -0.00604248046875, -0.03436279296875, 0.07574462890625, -3.07861328125, 0.31103515625, 0.02001953125, 54.92763, -555, -1127, -3010
2.824492, 0.00872802734375, -0.02288818359375, 0.0509033203125, -3.01904296875, 0.32666015625, 0.04150390625, 55.33151, -792, -1212, -3043
2.845109, 0.02655029296875, -0.04510498046875, 0.04168701171875, -3.07861328125, 0.33447265625, 0.02197265625, 55.73539, -1066, -1182, -2980
2.865725, 0.00677490234375, -0.03887939453125, 0.042724609375, -3.0498046875, 0.37890625, 0.03662109375, 56.139269, -1316, -1118, -2828
2.886342, -0.0169677734375, -0.043701171875, 0.0303955078125, -3.05859375, 0.4326171875, 0.0380859375, 56.543149, -178, -1022, -2786
2.906959, -0.03448486328125, -0.04998779296875, 0.011474609375, -3.068359375, 0.48291015625, 0.0380859375, 56.947028, -182, -947, -2818
2.927575, -0.04949951171875, -0.04571533203125, 0.0098876953125, -3.05224609375, 0.5205078125, 0.05078125, 57.350908, -176, -961, -2833
2.948192, -0.05810546875, -0.01824951171875, 0.00634765625, -2.98828125, 0.55078125, 0.0947265625, 57.754788, -176, -975, -2844
2.968809, -0.06402587890625, 0.00836181640625, -0.0103759765625, -2.9326171875, 0.5849609375, 0.140625, 58.158668, -66, -794, -2650
2.989426, -0.073486328125, 0.02520751953125, -0.01043701171875, -2.90283203125, 0.61181640625, 0.1708984375, 58.562547, -241, -547, -2904
3.010042, -0.08575439453125, 0.03070068359375, -0.0177001953125, -2.8974609375, 0.6455078125, 0.1884765625, 58.966427, -353, -509, -3004
3.030659, -0.1033935546875, 0.0374755859375, -0.0098876953125, -2.89306640625, 0.67236328125, 0.203125, 59.370306, -129, -614, -2802
3.051276, -0.1285400390625, 0.06561279296875, -0.01788330078125, -2.85986328125, 0.71044921875, 0.2509765625, 59.774186, -298, -627, -3002
3.071893, -0.13006591796875, 0.0501708984375, -0.04510498046875, -2.8828125, 0.74853515625, 0.24755859375, 60.178066, -353, -513, -2998
3.092509, -0.0997314453125, 0.02349853515625, -0.04833984375, -2.91064453125, 0.7470703125, 0.21923828125, 60.581945, -403, -393, -2977
3.113126, -0.09344482421875, -0.00775146484375, -0.0584716796875, -2.9541015625, 0.77001953125, 0.18408203125, 60.985825, -439, -532, -3078
3.133743, -0.11798095703125, -0.005859375, -0.060791015625, -2.95654296875, 0.80517578125, 0.19580078125, 61.389705, -528, -563, -3087
