Time (s), Channel Name, Value
8.812799999999999, GPIO-1, 480
8.886200000000001, GPIO-1, 496
8.8864, GPIO-1, 480
8.994, GPIO-1, 496
8.994199999999999, GPIO-1, 480
9.0024, GPIO-1, 496
9.002599999999999, GPIO-1, 480
9.082000000000001, GPIO-1, 496
9.0822, GPIO-1, 480
9.110200000000001, GPIO-1, 496
9.1104, GPIO-1, 480
9.122999999999999, GPIO-1, 496
9.123200000000001, GPIO-1, 480
9.143000000000001, GPIO-1, 496
9.1432, GPIO-1, 480
9.163, GPIO-1, 496
9.1632, GPIO-1, 480
9.1854, GPIO-1, 496
9.185600000000001, GPIO-1, 480
9.2224, GPIO-1, 496
9.2226, GPIO-1, 480
9.235200000000001, GPIO-1, 496
9.2354, GPIO-1, 480
9.244400000000001, GPIO-1, 496
9.2448, GPIO-1, 480
9.2638, GPIO-1, 496
9.263999999999999, GPIO-1, 480
9.271800000000001, GPIO-1, 496
9.272, GPIO-1, 480
9.3202, GPIO-1, 496
9.320399999999999, GPIO-1, 480
9.3956, GPIO-1, 496
9.395799999999999, GPIO-1, 480
9.432, GPIO-1, 496
9.4322, GPIO-1, 480
9.432399999999999, GPIO-1, 496
9.432600000000001, GPIO-1, 480
9.4994, GPIO-1, 496
9.499599999999999, GPIO-1, 480
9.537800000000001, GPIO-1, 496
9.538, GPIO-1, 480
9.558, GPIO-1, 496
9.558199999999999, GPIO-1, 480
9.561999999999999, GPIO-1, 496
9.562200000000001, GPIO-1, 480
9.6442, GPIO-1, 496
9.644399999999999, GPIO-1, 480
9.6518, GPIO-1, 496
9.651999999999999, GPIO-1, 480
9.797599999999999, GPIO-1, 496
9.797800000000001, GPIO-1, 480
9.8316, GPIO-1, 496
9.831799999999999, GPIO-1, 480
9.869, GPIO-1, 496
9.869199999999999, GPIO-1, 480
9.938599999999999, GPIO-1, 496
9.938800000000001, GPIO-1, 480
9.949400000000001, GPIO-1, 496
9.9496, GPIO-1, 480
9.9528, GPIO-1, 496
9.952999999999999, GPIO-1, 480
9.9658, GPIO-1, 496
9.965999999999999, GPIO-1, 480
10.0276, GPIO-1, 496
10.0278, GPIO-1, 480
10.0626, GPIO-1, 496
10.0628, GPIO-1, 480
10.0854, GPIO-1, 496
10.0856, GPIO-1, 480
10.0942, GPIO-1, 496
10.0944, GPIO-1, 480
10.0968, GPIO-1, 496
10.097, GPIO-1, 480
10.1122, GPIO-1, 496
10.1124, GPIO-1, 480
10.137, GPIO-1, 496
10.1372, GPIO-1, 480
10.1502, GPIO-1, 496
10.1504, GPIO-1, 480
10.169, GPIO-1, 496
10.1692, GPIO-1, 480
10.2012, GPIO-1, 496
10.2014, GPIO-1, 480
10.2278, GPIO-1, 496
10.2282, GPIO-1, 480
10.2382, GPIO-1, 496
10.2384, GPIO-1, 480
10.2598, GPIO-1, 496
