 
bodyparts,snout,snout,snout,mouth,mouth,mouth,paw_VL,paw_VL,paw_VL,paw_VR,paw_VR,paw_VR,middle,middle,middle,paw_HL,paw_HL,paw_HL,paw_HR,paw_HR,paw_HR,anus,anus,anus,tail_start,tail_start,tail_start,tail_middle,tail_middle,tail_middle,tail_end,tail_end,tail_end
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,450.2530757188797,398.62527298927307,0.9950498938560486,453.1126238703728,408.9760170765221,0.9964452385902405,475.52336835861206,446.6059011518955,0.9930827617645264,450.7603416442871,436.8118395805359,0.9999679327011108,465.27668809890747,467.08386874198914,0.9995193481445312,484.243861079216,485.2391290664673,0.999995231628418,447.466082572937,499.2001419067383,0.9999895095825195,465.34851574897766,503.2786383628845,0.9999688863754272,463.6478645801544,512.5689300000668,0.9999092817306519,426.1419720649719,536.3554479181767,0.9991278052330017,383.0662760734558,514.0219826698303,0.999208390712738
10,447.80323457717896,397.952853679657,0.9990083575248718,449.5542013645172,408.79800617694855,0.9994733929634094,473.22207832336426,436.87133407592773,0.9976025223731995,450.7603416442871,437.22629284858704,0.9999439716339111,466.5828503668308,465.87365913391113,0.9984549283981323,484.243861079216,488.1121482849121,0.9999822378158569,447.466082572937,499.8567043542862,0.9999198913574219,465.34851574897766,502.57639169692993,0.9999905824661255,463.6478645801544,512.1644366383553,0.9998992681503296,428.0794126987457,537.8226838111877,0.9994176626205444,384.02516651153564,514.1092034578323,0.9998847246170044
11,447.80323457717896,396.3325854539871,0.9998952150344849,449.5542013645172,406.49581027030945,0.9999902248382568,471.32602167129517,425.38731050491333,0.9999862909317017,450.6632648408413,437.22629284858704,0.9999866485595703,466.5828503668308,464.01945358887315,0.9973863959312439,483.90856915712357,488.1121482849121,0.999985933303833,446.55261766910553,499.8567043542862,0.9999229907989502,465.34851574897766,500.58275255560875,0.9999821186065674,462.02225932851434,510.24651062488556,0.9999597072601318,430.3766260147095,538.5694526433945,0.9993855953216553,385.56135255098343,515.1725239753723,0.9998602867126465
12,448.4982011318207,395.07544803619385,0.999927282333374,450.3326938152313,406.1754666566849,0.9998914003372192,469.37734031677246,423.7631006240845,0.999879002571106,450.5420750975609,436.81550991535187,0.9999908208847046,466.5828503668308,463.09292709827423,0.9991299510002136,483.90856915712357,487.16666555404663,0.9999922513961792,446.7774963378906,499.5569701194763,0.9999948740005493,465.34851574897766,499.7967267036438,0.9999804496765137,462.1937506198883,509.75032663345337,0.9998862743377686,432.6845169067383,538.5694526433945,0.9995220899581909,388.2506686449051,516.0875673294067,0.9998601675033569
13,448.99037396907806,393.1130328178406,0.9999486207962036,451.1738169193268,404.05816781520844,0.9999456405639648,465.8123438358307,418.6012017726898,0.999937891960144,450.6632648408413,435.6328229904175,0.9999945163726807,466.5828503668308,463.046603679657,0.999392032623291,483.38552808761597,486.58362451195717,0.9999953508377075,446.7774963378906,499.2001419067383,0.999993085861206,465.5545606613159,499.27674770355225,0.9999954700469971,462.1937506198883,508.9600672721863,0.9999841451644897,434.9601707458496,538.6427402496338,0.9994572997093201,391.1364303827286,516.0875673294067,0.9998610019683838
14,448.4982011318207,389.88064193725586,0.9996751546859741,450.3326938152313,401.83124899864197,0.9999490976333618,465.310818195343,413.66206073760986,0.9999630451202393,449.48589757084846,436.03404664993286,0.9999971389770508,466.5828503668308,460.60259532928467,0.9987213015556335,483.38552808761597,487.16666555404663,0.9999974966049194,446.71594858169556,496.5188171863556,0.9999921321868896,465.3299817740917,496.77652525901794,0.9999974966049194,462.1937506198883,506.12329161167145,0.9999829530715942,436.55382347106934,538.6427402496338,0.999151349067688,392.9661667197943,516.357145190239,0.999869704246521
15,448.4982011318207,388.2733162641525,0.9999157190322876,450.3326938152313,398.8890116289258,0.9999539852142334,465.24515295028687,409.3809132575989,0.9999781847000122,449.16760206222534,435.6328229904175,0.9998569488525391,466.45881843566895,458.2622904777527,0.9984331727027893,483.38552808761597,486.58362451195717,0.9999862909317017,446.71594858169556,494.5830899477005,0.9999977350234985,465.3299817740917,495.19478672742844,0.9999954700469971,463.09611082077026,505.29411697387695,0.9999780654907227,439.447208404541,538.4993721842766,0.996694803237915,396.01408314704895,516.0875673294067,0.9997472167015076
16,446.8978313803673,388.1414284706116,0.999883770942688,451.1738169193268,396.53141617774963,0.9998962879180908,465.310818195343,408.7497035264969,0.9998941421508789,449.48589757084846,434.78694981336594,0.9999502897262573,467.7915909290314,457.93469429016113,0.9982205033302307,483.6992383003235,485.59241938591003,0.9999583959579468,446.71594858169556,492.91816532611847,0.9999926090240479,464.2620463371277,494.3589471280575,0.9999858140945435,463.4339734315872,504.0363838672638,0.9998964071273804,440.2379984855652,536.9083576202393,0.9984694123268127,396.1832946538925,513.8990199565887,0.9998835325241089
17,445.7250561118126,383.9326747134328,0.9994741082191467,448.9239740371704,394.2496381998062,0.999854564666748,464.87839818000793,408.7497035264969,0.9998486042022705,450.14019680023193,435.6328229904175,0.9999752044677734,467.7915909290314,454.0990934371948,0.9985221028327942,483.6992383003235,485.6171786785126,0.999976634979248,444.8027933835983,484.56188344955444,0.9999691247940063,464.08764362335205,488.35608291625977,0.9999531507492065,463.4339734315872,498.3800437450409,0.9999790191650391,442.0943093299866,534.4854161739349,0.9991922974586487,397.7173784971237,513.8990199565887,0.9998244643211365
18,445.7250561118126,382.4390158653259,0.9999499320983887,448.9239740371704,393.5966851711273,0.9999303817749023,464.87839818000793,408.7497035264969,0.9999681711196899,450.14019680023193,434.45879435539246,0.999955415725708,466.60860097408295,454.0898869112134,0.9973037242889404,483.6992383003235,484.0907292366028,0.9999724626541138,444.7278513908386,480.0506713576615,0.999945878982544,463.49675142765045,486.89942741394043,0.9999915361404419,463.09611082077026,497.5045022368431,0.9999632835388184,443.55778074264526,534.328175008297,0.9981568455696106,397.8942948579788,513.8465971946716,0.9996322393417358
