Time,Fluo,Isos,IO2,IO3,Distances
69.4,0.1623059875506151,0.15127813477175034,1,0,0.6163645507392772
69.41,0.16228554581319604,0.1512499844431082,0,0,
69.42,0.16221793018451455,0.15118231970183335,0,0,
69.43,0.16207304677500425,0.1510483249825115,0,0,
69.44,0.1618540192239777,0.1508991844831331,0,0,
69.45,0.16161661069185665,0.1507555649899009,0,0,
69.46,0.1614264799056311,0.15060914465784286,0,0,
69.47,0.1613372887418599,0.1505378546248671,0,0,
69.48,0.1613448835664501,0.1505447490926613,0,0,
69.49,0.16140567837102124,0.15057048603499312,0,0,
69.5,0.1614739167006511,0.15061698018847539,1,0,0.6210781931877136
69.51,0.16150789369911525,0.15064256176950697,0,0,
69.52,0.16149675902800809,0.15060817440216626,0,0,
69.53,0.16145202703861758,0.15056242249308358,0,0,
69.54,0.16142587133597447,0.15054538500906606,0,0,
69.55,0.16147004912231522,0.1505671403357288,0,0,
69.56,0.16159155987641854,0.1506749290384656,0,0,
69.57,0.1617508347491413,0.1508360657193242,0,0,
69.58,0.16188358992722066,0.1509600245676788,0,0,
69.59,0.16195898470005207,0.15105161341738027,0,0,
69.6,0.16196532491402457,0.15108769330611205,1,0,0.02980634734796197
69.61,0.16191742997414402,0.15104539667633118,0,0,
69.62,0.16184607836477194,0.15099399261266933,0,0,
69.63,0.1617785022713755,0.15096119636995223,0,0,
69.64,0.16173130128089205,0.15094247466007127,0,0,
69.65,0.16168478548393858,0.15096119064240454,0,0,
69.66,0.16162069530172068,0.1509808250460371,0,0,
69.67,0.1615262205556066,0.15092461024845674,0,0,
69.68,0.16140215947914166,0.1508113421064836,0,0,
69.69,0.16126206332189144,0.15066105772932079,0,0,
69.7,0.16112732062863566,0.15048721210106802,1,0,0.02980634734796197
69.71,0.1610352476519748,0.1503766728069395,0,0,
69.72,0.1609910488302439,0.1503261909777409,0,0,
69.73,0.16097969800308512,0.15028936720700356,0,0,
69.74,0.16097825202705357,0.15029236805567964,0,0,
69.75,0.1609698307532826,0.15031676741531164,0,0,
69.76,0.1609430920031289,0.1503099611406599,0,0,
69.77,0.16087577958899754,0.15027692019044844,0,0,
69.78,0.16078381704888345,0.15022660555520587,0,0,
69.79,0.16071685345701464,0.1501702794597173,0,0,
69.8,0.1607324037161559,0.15018409021824744,1,0,0.7706244140863419
