,Isos,Fluo
35.3,0.11791179918793156,0.13318166663315265
35.4,0.11794246951544346,0.13315977781439045
35.5,0.11792348083228375,0.13320709714786302
35.6,0.11767436559727319,0.1329990358143583
35.7,0.11762757731013758,0.1330248454049899
35.8,0.11792702121405244,0.13320956259488448
35.9,0.11782019596130701,0.13312909429680717
36.0,0.11794656977839557,0.13322969383833932
36.1,0.11782663479287059,0.13308405426541467
36.2,0.11745933624861503,0.13274425903557263
36.3,0.11755613896356369,0.13303246559310675
36.4,0.1176701978412789,0.1327426112206648
36.5,0.11763362776923023,0.13264860434033215
36.6,0.11757935347366734,0.13254112349449615
36.7,0.11747832790989134,0.13253853502131852
36.8,0.11743514618522982,0.13256972980350992
36.9,0.11741071874694431,0.13245913537298154
37.0,0.1172372400159336,0.13230263468211284
37.1,0.1172016561291358,0.13228979476330494
37.2,0.11711301800066512,0.1323102328809665
37.3,0.1174793596121822,0.13252505543574686
37.4,0.11757620891995778,0.13275259205122117
37.5,0.11802240807564456,0.13299900563205774
37.6,0.1181972920585769,0.1331477324328397
37.7,0.11814101933539485,0.13295281168208145
37.8,0.11845425184809492,0.13334678259281876
37.9,0.11852159126183243,0.13327308369846283
38.0,0.11805739929921127,0.13297769506136528
38.1,0.11799314589453629,0.1327852714074354
38.2,0.11772473446201408,0.13252551333471524
38.3,0.11772799690086137,0.1326112378631887
38.4,0.11783619610719512,0.13281333390326083
38.5,0.1175133073034738,0.1323663495669398
38.6,0.11751934055518566,0.1325364497622949
38.7,0.11765251306555334,0.13254378725369084
38.8,0.11740151475422937,0.13226832335671646
38.9,0.11660467927313356,0.13167984861108423
39.0,0.11694060964831318,0.13190454059040102
39.1,0.11723573194219432,0.13226790389370452
39.2,0.11777089422434105,0.13286070877763712
39.3,0.11776193236905562,0.13274890219155172
39.4,0.11748510560535305,0.13234555932182226
39.5,0.11742900677499504,0.13240063240010658
39.6,0.11733486039721248,0.13240434979578702
39.7,0.11732243445110015,0.13244764419386454
39.8,0.11780994320990804,0.13275521334166424
39.9,0.11820407354126278,0.13310234584361252
40.0,0.1180655628864402,0.13294051358169345
40.1,0.11824054649590396,0.13287657662764657
40.2,0.11793572166509246,0.1328883866619476
40.3,0.11782009775322139,0.13277637816547433
40.4,0.11802785744124485,0.13278716767820853
40.5,0.11832327365794643,0.13301829896052497
40.6,0.11816042494873326,0.13299725199028337
40.7,0.11782543326566637,0.13253067178471722
40.8,0.11765226971746041,0.13235476109529323
40.9,0.11779176726303202,0.13259970027220583
41.0,0.11790839607304478,0.13280023307120092
41.1,0.11796466270380271,0.1328922627746917
41.2,0.11803616368671303,0.1329867617054197
41.3,0.11792338453515544,0.13285653154472674
41.4,0.11808401620844955,0.13303124782422002
41.5,0.11797714864790035,0.13306119319338186
41.6,0.11808155696231964,0.13318328294169388
41.7,0.1178567705953328,0.13311598327993393
41.8,0.11795445862106044,0.13301122516597316
41.9,0.11801385565707004,0.13326094540915753
42.0,0.11824517771518837,0.1332776236464023
42.1,0.11835603598615935,0.13344332081646396
42.2,0.11845398954374742,0.1333522845847209
42.3,0.11837962365447159,0.13326417428606502
42.4,0.11817543963078503,0.1332206201221541
42.5,0.1182414380331934,0.13311837206073412
42.6,0.11804181013356863,0.1330966376166155
42.7,0.11804687261166671,0.1330582319579117
42.8,0.11773327836178107,0.13282726664481284
42.9,0.11754103172394237,0.1327935345388521
43.0,0.1178639425936732,0.13293745108028018
43.1,0.1179619781710439,0.13301033606366813
43.2,0.11792694154174248,0.13292694894351353
43.3,0.11784793105105157,0.13283069971541311
43.4,0.11814033982592378,0.13287983964884126
43.5,0.11812582658370431,0.1329700453304028
43.6,0.11801304538666006,0.1330970294183358
43.7,0.11780158151259335,0.13282730523042346
43.8,0.11806270633444142,0.13289360380574694
43.9,0.11833734793320898,0.13312030215177503
44.0,0.11828479951164578,0.1329931231992896
44.1,0.11852156531638745,0.13301179123306844
44.2,0.11851040890876668,0.13321653401610384
