,701_A53T
-1.28,-0.15601558174457697
-1.27,-0.15346018699606062
-1.26,-0.13881835452911473
-1.25,-0.1123748939444007
-1.24,-0.07915340058445419
-1.23,-0.046448742090021505
-1.22,-0.0209329314148166
-1.21,-0.0064454178850254645
-1.2,-0.003260099179836329
-1.19,-0.009077556677888426
-1.18,-0.020742720396568964
-1.17,-0.03531800588173911
-1.16,-0.050153868363506826
-1.15,-0.062455241316255766
-1.14,-0.06898770712497965
-1.13,-0.06664795082741254
-1.12,-0.05414696082470999
-1.11,-0.03364211740582518
-1.1,-0.010605335570370661
-1.09,0.008392891212542136
-1.08,0.01864801284795499
-1.07,0.01919748317898165
-1.06,0.012427031474792793
-1.05,0.001934257194399519
-1.04,-0.009316862271650891
-1.03,-0.01921186407663289
-1.02,-0.025798355277865073
-1.01,-0.02701322478102436
-1.0,-0.021230501411287434
-0.99,-0.00844437486542167
-0.98,0.008668761740244738
-0.97,0.025249204929880503
-0.96,0.03665585513113116
-0.95,0.04082211851055317
-0.94,0.03845745855511022
-0.93,0.031199128165443
-0.92,0.01949677522981598
-0.91,0.0019371483053438332
-0.9,-0.02337019705305006
-0.89,-0.05628238378905942
-0.88,-0.09292350992965936
-0.87,-0.12599819196239914
-0.86,-0.14691982536990336
-0.85,-0.1489796976916664
-0.84,-0.13025782939890448
-0.83,-0.0943861371802549
-0.82,-0.04846660804876626
-0.81,9.467277917188377e-05
-0.8,0.04545380531048966
-0.79,0.08329062774766241
-0.78,0.11007416121715868
-0.77,0.1232334354673878
-0.76,0.12266337886598128
-0.75,0.11189716711705106
-0.74,0.09682022497781999
-0.73,0.08239227166048196
-0.72,0.07015578643211483
-0.71,0.05823780114480938
-0.7,0.04321170631532703
-0.69,0.022536147110538085
-0.68,-0.0033287042166677827
-0.67,-0.029992103724085506
-0.66,-0.05006652124417088
-0.65,-0.055966025024026644
-0.64,-0.04377649648052856
-0.63,-0.01634602274437512
-0.62,0.016716132923554256
-0.61,0.042733794633377925
-0.6,0.05128967732446452
-0.59,0.038337031384652075
-0.58,0.007451508051103881
-0.57,-0.031984818041255164
-0.56,-0.06864273088940534
-0.55,-0.09321789285279905
-0.54,-0.10094275721393817
-0.53,-0.09227638744079508
-0.52,-0.07194917275793797
-0.51,-0.04671033147865955
-0.5,-0.02275208618443253
-0.49,-0.0039371666461250066
-0.48,0.008685770731072823
-0.47,0.015956946829270263
-0.46,0.018510536415902307
