,Isos,Fluo
42.29,0.13976270227309107,0.15647568992194236
42.3,0.13984482648402002,0.15657811479031697
42.31,0.13997556504895903,0.156718553931378
42.32,0.1400664734414054,0.15684867761892815
42.33,0.14012148789722095,0.15693526424730464
42.34,0.14012954847257775,0.15696144177480015
42.35,0.14007925617064262,0.15693141187083756
42.36,0.1400202200606389,0.156854602077115
42.37,0.13998805114195415,0.15676842918514153
42.38,0.13999436706522084,0.15671318302666484
42.39,0.14008274896097267,0.15670683992103432
42.4,0.14020136307960995,0.15673557208639555
42.41,0.1402490045110046,0.15676118360002197
42.42,0.14024057876290738,0.15677028852214353
42.43,0.1401816131425856,0.1567609798629632
42.44,0.14008226545185298,0.15674511361192595
42.45,0.14002298047552622,0.1567392820582462
42.46,0.14001792025690837,0.15675654325944652
42.47,0.14003764687561954,0.15680033598781
42.48,0.14009089529953286,0.1568471148063058
42.49,0.14015166845327423,0.15688041855653426
42.5,0.14016583007317546,0.15688433460580223
42.51,0.14015685898658786,0.1568549563050192
42.52,0.14011691325667172,0.15680572678896582
42.53,0.1400311562227624,0.1567652098397004
42.54,0.13998619960684203,0.1567763088806986
42.55,0.13999942835817372,0.15684381736216532
42.56,0.1400336744231133,0.15694392796250492
42.57,0.1401023733750996,0.15704282694739655
42.58,0.14017900180550985,0.15712331444009073
42.59,0.14021250765941126,0.15717601031094267
42.6,0.1402091810668929,0.1571774873214568
42.61,0.1401667264048511,0.15712705537460137
42.62,0.14008270834096676,0.1570442475834136
42.63,0.1400426500021639,0.15697298998064288
42.64,0.14006369137424857,0.15694636164494524
42.65,0.14009729011631,0.1569679230577656
42.66,0.14015240674612134,0.15702536541897175
42.67,0.14017919806313647,0.15707653069776562
42.68,0.1401196565863484,0.1570820656497663
42.69,0.14000956109139945,0.1570187377030941
42.7,0.13988497242581913,0.15691060615217073
42.71,0.13976145496689335,0.15680582921421596
42.72,0.13968513522382603,0.15673081566464883
42.73,0.13964480561338374,0.15668981549808922
42.74,0.13959021943791058,0.15665926761325388
42.75,0.13955263440204227,0.15661835580788697
42.76,0.13951091087449113,0.15653930842093464
42.77,0.13941690640924573,0.15641149955220107
42.78,0.139317526761674,0.15626676808328135
42.79,0.139225862187503,0.15614258302542464
42.8,0.13913538944058773,0.15605772487855227
42.81,0.13908124674304906,0.15599241942142505
42.82,0.13906029268974232,0.15593559916246402
42.83,0.1390449017140172,0.15589219656797362
42.84,0.13905705556702505,0.15586686772849578
42.85,0.13907106826544474,0.1558605253994665
42.86,0.1390435192151376,0.15586518644544048
42.87,0.1390362291450096,0.15589369172419237
42.88,0.13905997975224954,0.1559503884129231
42.89,0.1390848190691171,0.1560266435524111
42.9,0.1391424639327671,0.1561035160273806
42.91,0.13920528544387115,0.15615569159393747
42.92,0.13922314319589824,0.15617092116888212
42.93,0.13920704699346675,0.15613886217203354
42.94,0.13916037319125776,0.15607672068190526
42.95,0.13909184163681773,0.1560097274845164
42.96,0.13908279738520224,0.15596084551498626
42.97,0.13913773231042775,0.15594931739427506
42.98,0.13919326626634518,0.15597978615614336
42.99,0.1392632329266093,0.15605323868906126
43.0,0.13931645469316822,0.15613433708192784
43.01,0.13930699070690383,0.15617723893580943
43.02,0.13926691138897224,0.1561516827318616
43.03,0.13919348216884936,0.15605957864861567
43.04,0.1390754621861727,0.1559384566488239
43.05,0.13897143989302863,0.15582494018766066
43.06,0.13891798579023584,0.15575983719231884
43.07,0.1389066592426387,0.1557540077037831
43.08,0.13896834222165833,0.15578450994326715
43.09,0.13905848189326903,0.15581190066450923
43.1,0.1390984417399726,0.1558104476902357
43.11,0.13911880814005,0.15579758199860744
43.12,0.13911967045049783,0.15578755686629847
43.13,0.1390875318415026,0.15578507299547323
43.14,0.13908281273220716,0.15578657240468827
43.15,0.13913313133843552,0.15580537094269503
43.16,0.13921472554167535,0.1558634396948743
43.17,0.13931070502010123,0.15594632347713414
43.18,0.13936602361092593,0.15602142001912575
43.19,0.13933246259342924,0.1560554254893878
43.2,0.13927725922876721,0.1560535014959826
43.21,0.1392349047055941,0.15603814021367476
43.22,0.13919651532745203,0.1560284342138032
43.23,0.13921173915621415,0.15604540440956394
43.24,0.13926323758612477,0.15609121061603773
43.25,0.13930546718266582,0.15616122054718687
43.26,0.13934813723821868,0.15622712750934728
43.27,0.1393743720147132,0.15625636764389822
43.28,0.1393565705098667,0.15622586641767572
43.29,0.1393287753053542,0.1561376344615083
43.3,0.13930655184211022,0.15603829240428907
43.31,0.13929270529735577,0.1559763297807623
43.32,0.13935281283216175,0.15598726514533617
43.33,0.13945557663911906,0.15605955571680521
43.34,0.13951649044704334,0.15615187409389572
43.35,0.13955123389137522,0.15623450438487935
43.36,0.13956176046859298,0.15628561021510953
43.37,0.13954222477872363,0.15629653711828967
43.38,0.13952960722142818,0.15626120581953512
43.39,0.13952902839833672,0.15621033133766887
43.4,0.13953629316743726,0.15618923901199672
43.41,0.13959803634522355,0.15621985787382955
43.42,0.13968074528272734,0.15628912713833049
43.43,0.1396947761526636,0.15634690162484652
43.44,0.1396589163316125,0.15636470736917849
43.45,0.13958697087976496,0.15633752296975573
43.46,0.13949393874971522,0.15628704490696949
43.47,0.13945766609328344,0.1562488123975688
43.48,0.13947306786379787,0.15624426854534237
43.49,0.13949192003955518,0.15627355898467435
43.5,0.13951939505414104,0.15630225209975546
43.51,0.1395429500931655,0.15630934211478262
43.52,0.13953196766610051,0.1562896754038326
43.53,0.1395224407748628,0.15625140289185757
43.54,0.1395129011235203,0.15621689191613317
43.55,0.13948272169160952,0.15620856270128444
43.56,0.1395034690132014,0.15625188679293925
43.57,0.13957732644910803,0.15633165959122722
43.58,0.13965295874762515,0.1564092434846322
43.59,0.13973827165453453,0.15645306333926592
43.6,0.1398075359109646,0.15646261537234768
43.61,0.13982488503515922,0.15645939069391937
43.62,0.13981134602688608,0.15644231076361237
43.63,0.13977435948677328,0.15641257902648292
43.64,0.13971740242001188,0.156378523427402
43.65,0.13971910145006244,0.15636379821330545
43.66,0.1397836518574656,0.15638374891269258
43.67,0.13984068736214839,0.15642550551107487
43.68,0.13988653456752018,0.15647040312160432
43.69,0.1398866005033113,0.15648954481798588
43.7,0.13981929788585168,0.1564748563102662
43.71,0.13975388405828673,0.1564335180560057
43.72,0.13972225829950913,0.15638615302701764
43.73,0.13970934667223855,0.1563532075864711
