Time (s), Cell Name, Value
787.270853, C019, 47.03312
798.66175, C019, 43.05305
925.96002, C019, 8.206076
1059.353418, C019, 7.769471
180.255948, C020, 28.64525
202.638062, C020, 64.79428
209.332711, C020, 15.68308
235.51179, C020, 10.51449
243.305562, C020, 27.92916
274.280808, C020, 59.57893
280.575778, C020, 49.81312
285.471865, C020, 9.738111
383.393611, C020, 62.09774
388.789299, C020, 8.7819
433.853286, C020, 35.0806
438.749373, C020, 45.72598
450.539951, C020, 48.26754
476.61911, C020, 44.87697
477.418471, C020, 10.75873
497.902102, C020, 34.95932
502.398508, C020, 36.45147
506.595155, C020, 29.91062
517.886131, C020, 17.4725
530.67591, C020, 9.599209
550.160339, C020, 45.40945
721.3235550000001, C020, 8.968655
746.303592, C020, 35.17472
750.799998, C020, 52.60869
760.192492, C020, 48.42321
766.0877809999999, C020, 20.36132
769.385146, C020, 39.79829
827.238912, C020, 8.707417
831.435559, C020, 9.702892
961.3317520000001, C020, 28.36304
1020.38456, C020, 58.12022
4.996007, C021, 18.80077
66.446899, C021, 17.6897
194.144849, C021, 14.7518
214.228799, C021, 15.34427
217.925844, C021, 11.7081
229.516582, C021, 21.05878
276.179291, C021, 24.09116
276.578972, C021, 16.7529
369.005109, C021, 12.47702
405.675804, C021, 13.7922
434.153047, C021, 11.59903
451.139472, C021, 34.18219
462.430449, C021, 17.52132
501.898908, C021, 19.12805
564.0492400000001, C021, 14.58421
577.53846, C021, 22.90486
583.733509, C021, 16.23619
602.618418, C021, 21.74356
613.409794, C021, 12.77123
741.007824, C021, 11.25423
741.407504, C021, 25.46165
745.803991, C021, 32.39024
789.968697, C021, 38.6437
905.776149, C021, 26.1263
913.869681, C021, 13.81412
945.244608, C021, 12.5181
956.635505, C021, 34.44943
960.13271, C021, 51.68633
972.822569, C021, 15.66213
1040.16875, C021, 13.79501
49.160713, C022, 29.68573
51.958477, C022, 14.6836
53.457279, C022, 18.91631
184.152834, C022, 14.26694
351.718924, C022, 14.47461
352.418365, C022, 29.57966
369.904391, C022, 15.24869
387.590257, C022, 22.41283
446.543145, C022, 15.39919
497.202661, C022, 20.57944
499.700664, C022, 20.31034
540.468085, C022, 22.8711
786.371571, C022, 15.33035
805.955921, C022, 17.24039
1116.407823, C022, 17.73738
1122.802713, C022, 30.73824
1126.399838, C022, 35.17747
1130.796325, C022, 16.72379
33.073569, C023, 8.921198
35.871333, C023, 9.765403
58.253446, C023, 8.976377
271.483044, C023, 23.01885
281.475059, C023, 30.33936
306.455096, C023, 21.28101
307.154537, C023, 16.73732
412.870055, C023, 9.625944
415.767739, C023, 24.72463
421.263347, C023, 9.783499
479.816555, C023, 23.89087
483.913281, C023, 27.76261
496.70306, C023, 29.73602
507.294596, C023, 13.9737
537.5704009999999, C023, 19.83463
543.96529, C023, 14.94903
