Time (s), Channel Name, Value
84.6062, GPIO-1, 49088
84.60639999999999, GPIO-1, 49056
84.6066, GPIO-1, 49200
84.60680000000001, GPIO-1, 49184
84.607, GPIO-1, 49152
84.60720000000001, GPIO-1, 49200
84.6074, GPIO-1, 49184
84.60760000000001, GPIO-1, 49024
84.6078, GPIO-1, 49216
84.608, GPIO-1, 49104
84.6082, GPIO-1, 49024
84.6084, GPIO-1, 49056
84.6086, GPIO-1, 49168
84.60899999999999, GPIO-1, 49056
84.6092, GPIO-1, 49168
84.60939999999999, GPIO-1, 49024
84.6096, GPIO-1, 49216
84.60980000000001, GPIO-1, 49120
84.61, GPIO-1, 49024
84.61020000000001, GPIO-1, 49072
84.6104, GPIO-1, 49120
84.61060000000001, GPIO-1, 49184
84.6108, GPIO-1, 49072
84.611, GPIO-1, 49120
84.6112, GPIO-1, 49040
84.6114, GPIO-1, 49216
84.6116, GPIO-1, 49088
84.6118, GPIO-1, 49024
84.61199999999999, GPIO-1, 49072
84.6122, GPIO-1, 49088
84.61239999999999, GPIO-1, 49184
84.6126, GPIO-1, 49088
84.61279999999999, GPIO-1, 49136
84.613, GPIO-1, 49040
84.61320000000001, GPIO-1, 49184
84.6134, GPIO-1, 49136
84.61360000000001, GPIO-1, 49200
84.6138, GPIO-1, 49104
84.614, GPIO-1, 49040
84.6142, GPIO-1, 49200
84.6144, GPIO-1, 49184
84.6146, GPIO-1, 49168
84.6148, GPIO-1, 49056
84.61499999999999, GPIO-1, 49104
84.6152, GPIO-1, 49152
84.61539999999999, GPIO-1, 49216
84.6156, GPIO-1, 49120
84.61579999999999, GPIO-1, 49008
84.616, GPIO-1, 49056
84.61620000000001, GPIO-1, 49152
84.6164, GPIO-1, 49168
84.61660000000001, GPIO-1, 49056
84.6168, GPIO-1, 49152
84.617, GPIO-1, 49024
84.6172, GPIO-1, 49216
84.6174, GPIO-1, 49120
84.6176, GPIO-1, 49008
84.6178, GPIO-1, 49072
84.61799999999999, GPIO-1, 49120
84.6182, GPIO-1, 49024
84.61839999999999, GPIO-1, 49072
84.6186, GPIO-1, 49136
84.61879999999999, GPIO-1, 49024
84.619, GPIO-1, 49216
84.61920000000001, GPIO-1, 49072
84.6194, GPIO-1, 49040
84.61960000000001, GPIO-1, 49072
84.62, GPIO-1, 49200
84.6204, GPIO-1, 49136
84.6206, GPIO-1, 49040
84.6208, GPIO-1, 49184
84.621, GPIO-1, 49040
84.6212, GPIO-1, 49200
84.62139999999999, GPIO-1, 49104
84.6216, GPIO-1, 49040
84.62179999999999, GPIO-1, 49056
84.622, GPIO-1, 49104
84.62220000000001, GPIO-1, 49152
84.6224, GPIO-1, 49056
84.62260000000001, GPIO-1, 49184
84.6228, GPIO-1, 49008
84.623, GPIO-1, 49216
84.6232, GPIO-1, 49104
84.6234, GPIO-1, 49168
84.6236, GPIO-1, 49072
84.6238, GPIO-1, 49168
